,pretrain_data,target,MSE,MAE,seed,model
237,traffic,traffic,0.4815980037324038,0.33165762865324694,2024,CoST
238,traffic,exchange,0.1604027532212383,0.29435542383265895,2024,CoST
239,traffic,weather,0.24172073152602608,0.33599590045946154,2024,CoST
240,exchange,ETTh1,0.4349176616578857,0.448084158659263,2024,CoST
241,exchange,ETTh2,0.235347289239202,0.33718008809939226,2024,CoST
242,exchange,ETTm1,0.3409732946566885,0.3790265673715137,2024,CoST
243,exchange,ETTm2,0.1581868214155018,0.2727775244077923,2024,CoST
244,exchange,electricity,0.17530431677026073,0.2780646952128895,2024,CoST
245,exchange,traffic,0.4774280609764832,0.3374472890204958,2024,CoST
246,exchange,exchange,0.12828092985046086,0.2578512394789094,2024,CoST
247,exchange,weather,0.257735831662118,0.3572772385155382,2024,CoST
248,weather,ETTh1,0.43454426472613156,0.4460257935683221,2024,CoST
249,weather,ETTh2,0.233572368739232,0.33536807529891344,2024,CoST
250,weather,ETTm1,0.34026895759451076,0.3797773232826987,2024,CoST
251,weather,ETTm2,0.15874404933226335,0.27408052264812505,2024,CoST
252,weather,electricity,0.17842295343070866,0.2799181257635422,2024,CoST
253,weather,traffic,0.47871745992890546,0.3359761676096464,2024,CoST
254,weather,exchange,0.13056254939621192,0.26153132184788647,2024,CoST
255,weather,weather,0.2641865636154606,0.36565733298557146,2024,CoST
256,ETTh1,ETTh1,0.4338520882793169,0.4454975698407693,2025,CoST
257,ETTh1,ETTh2,0.23284289025106544,0.3347661039324917,2025,CoST
258,ETTh1,ETTm1,0.33898231989663763,0.37840610068865815,2025,CoST
259,ETTh1,ETTm2,0.15842051843980737,0.2744224523030508,2025,CoST
260,ETTh1,electricity,0.17898276408130936,0.2805114748021241,2025,CoST
261,ETTh1,traffic,0.4730931853700271,0.3360091234192175,2025,CoST
262,ETTh1,exchange,0.12485534034064867,0.253458961426171,2025,CoST
263,ETTh1,weather,0.2507721791938199,0.3381781211161708,2025,CoST
264,ETTh2,ETTh1,0.43383733550219744,0.4476511306026134,2025,CoST
265,ETTh2,ETTh2,0.2337692030453509,0.3362038545699931,2025,CoST
266,ETTh2,ETTm1,0.33877501227491763,0.37864791189755276,2025,CoST
267,ETTh2,ETTm2,0.15817995556021702,0.2741600835326707,2025,CoST
268,ETTh2,electricity,0.17953255776957086,0.28114532816353316,2025,CoST
269,ETTh2,traffic,0.47078789672167215,0.33368010233174905,2025,CoST
270,ETTh2,exchange,0.11336239926956918,0.2419991670086605,2025,CoST
271,ETTh2,weather,0.2738567883997853,0.3673468757380836,2025,CoST
272,ETTm1,ETTh1,0.4323057715668829,0.4471016303190497,2025,CoST
273,ETTm1,ETTh2,0.23358734086851243,0.33674259772897674,2025,CoST
274,ETTm1,ETTm1,0.3372408378494317,0.3771693655208841,2025,CoST
275,ETTm1,ETTm2,0.1576014211156243,0.27366715205427683,2025,CoST
276,ETTm1,electricity,0.17743090642403053,0.27903861385171425,2025,CoST
277,ETTm1,traffic,0.46962478273658986,0.33278627865847266,2025,CoST
278,ETTm1,exchange,0.11699829410891582,0.24550004811744536,2025,CoST
279,ETTm1,weather,0.2610320705984395,0.34937456284639745,2025,CoST
280,ETTm2,ETTh1,0.43294261804719736,0.44771181114711545,2025,CoST
281,ETTm2,ETTh2,0.2341858894979392,0.3374258063513395,2025,CoST
